Score, Target, Expression
13,-100,-(((~(-((~(True))<<(True))))<<(True))**(-(~(True))))
13,-101,~(((~(-((~(True))<<(True))))<<(True))**(-(~(True))))
13,131074,-((~((True)<<((True)<<(-((~(True))<<(True))))))<<(True))
13,-1022,-((~((~(True))<<((True)<<((True)-(~(True))))))<<(True))
13,-46,-((~((~(-(~(True))))<<((True)-(~(True)))))<<(True))
13,-52,-((~((~(-(~(True))))**((True)-(~(True)))))<<(True))
13,-162,-(((~(-(~(True))))**(-((~(True))<<(True))))<<(True))
13,-163,~(((~(-(~(True))))**(-((~(True))<<(True))))<<(True))
13,-51,~(((~(-((~(True))<<(True))))**(-(~(True))))<<(True))
13,-73,~((((~(-(~(True))))<<(True))**(-(~(True))))<<(True))
13,32770,(True)-(~((True)<<(~((~(True))<<((True)-(~(True)))))))
13,-253,(True)-(~((True)-((True)<<((True)<<((True)-(~(True)))))))
13,4098,(True)-(~((True)<<(((True)-(~(True)))<<(-(~(True))))))
13,1026,(True)-(~((True)<<(((True)-((~(True))<<(True)))<<(True))))
13,-131070,(True)-(~((~(True))<<((True)<<(-((~(True))<<(True))))))
13,83,(True)-(~((~(-(~(True))))**(-((~(True))<<(True)))))
13,524288,(True)<<(~((~(-((~(True))<<(True))))<<(-(~(True)))))
13,38,(True)-(~(((~(-(~(True))))<<(True))**(-(~(True)))))
13,-16383,(True)-((True)<<((~((~(True))<<(-(~(True)))))<<(True)))
13,-115792089237316195423570985008687907853269984665640564039457584007913129639935,(True)-((~(True))**((True)<<((True)<<((True)-(~(True))))))
13,-4294967295,(True)-((~(True))**((True)<<((True)-((~(True))<<(True)))))
13,-18446744073709551615,(True)-((~(True))**((True)<<(((True)-(~(True)))<<(True))))
13,8193,(True)-((~(True))<<(((True)-(~(True)))<<(-(~(True)))))
13,-6560,(True)-((~(-(~(True))))**((True)<<((True)-(~(True)))))
13,-728,(True)-((~(-(~(True))))**(((True)-(~(True)))<<(True)))
13,515,(True)-((~((True)<<((True)<<((True)-(~(True))))))<<(True))
13,131,(True)-((~((True)<<(((True)-(~(True)))<<(True))))<<(True))
13,-57896044618658097711785492504343953926634992332820282019728792003956564819968,(~(True))**(~(-((True)<<((True)<<((True)-(~(True)))))))
13,-231584178474632390847141970017375815706539969331281128078915168015826259279872,(~(True))**(-(~((True)<<((True)<<((True)-(~(True)))))))
13,-8589934592,(~(True))**(-(~((True)<<((True)-((~(True))<<(True))))))
13,-9223372036854775808,(~(True))**(~(-((True)<<(((True)-(~(True)))<<(True)))))
13,-36893488147419103232,(~(True))**(-(~((True)<<(((True)-(~(True)))<<(True)))))
13,13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084096,(~(True))**(-((~(True))<<((True)<<((True)-(~(True))))))
13,-6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048,(~(True))**(~((~(True))<<((True)<<((True)-(~(True))))))
13,-170141183460469231731687303715884105728,(~(True))**(~((~(True))<<(((True)-(~(True)))<<(True))))
13,-8388608,(~(True))**(~((~(-(~(True))))<<((True)-(~(True)))))
13,67108864,(~(True))**(~((~(-(~(True))))**((True)-(~(True)))))
13,-524288,(~(True))<<(-((~((True)<<((True)-(~(True)))))<<(True)))
13,Too large to print!,(~(True))**((True)<<(~((~(True))<<((True)-(~(True))))))
